year,avg_temp_austin,10Year_Austin_Moving_Avg
1820,18.83,
1821,20.75,
1822,25.48,
1823,19.34,
1824,19.9,
1825,20.15,
1826,19.87,
1827,20.52,
1828,20.02,
1829,19.71,20.457
1830,20.39,20.613
1831,18.96,20.434
1832,19.55,19.841
1833,20.03,19.91
1834,20.22,19.942
1835,18.35,19.762
1836,18.75,19.65
1837,19.34,19.532
1838,18.52,19.382
1839,19.38,19.349
1840,19.5,19.26
1841,19.54,19.318
1842,19.81,19.344
1843,19.56,19.297
1844,19.69,19.244
1845,19.43,19.352
1846,20,19.477
1847,19.15,19.458
1848,19.38,19.544
1849,19.96,19.602
1850,19.77,19.629
1851,19.86,19.661
1852,19.6,19.64
1853,18.96,19.58
1854,19.53,19.564
1855,19.23,19.544
1856,19.03,19.447
1857,19.47,19.479
1858,19.68,19.509
1859,20.01,19.514
1860,19.99,19.536
1861,20.3,19.58
1862,20.26,19.646
1863,19.83,19.733
1864,19.4,19.72
1865,19.87,19.784
1866,19.82,19.863
1867,20.62,19.978
1868,19.67,19.977
1869,19.24,19.9
1870,19.91,19.892
1871,20.24,19.886
1872,19.52,19.812
1873,19.44,19.773
1874,20.15,19.848
1875,19.59,19.82
1876,19.63,19.801
1877,19.38,19.677
1878,19.72,19.682
1879,20.35,19.793
1880,19.41,19.743
1881,19.81,19.7
1882,19.9,19.738
1883,19.85,19.779
1884,19.64,19.728
1885,19.26,19.695
1886,19.25,19.657
1887,19.74,19.693
1888,19.14,19.635
1889,19.29,19.529
1890,20.17,19.605
1891,19.36,19.56
1892,19.65,19.535
1893,19.94,19.544
1894,20.02,19.582
1895,19.02,19.558
1896,20.23,19.656
1897,20.02,19.684
1898,19.51,19.721
1899,19.5,19.742
1900,19.64,19.689
1901,19.73,19.726
1902,20.38,19.799
1903,18.58,19.663
1904,19.85,19.646
1905,19.28,19.672
1906,19.6,19.609
1907,20.63,19.67
1908,20.33,19.752
1909,20.54,19.856
1910,20.23,19.915
1911,20.57,19.999
1912,19.2,19.881
1913,19.12,19.935
1914,19.19,19.869
1915,19.85,19.926
1916,20.5,20.016
1917,19.88,19.941
1918,19.92,19.9
1919,19.08,19.754
1920,19.56,19.687
1921,20.91,19.721
1922,20.37,19.838
1923,20.1,19.936
1924,19.37,19.954
1925,20.51,20.02
1926,19.65,19.935
1927,21.23,20.07
1928,19.98,20.076
1929,19.69,20.137
1930,19.53,20.134
1931,20.17,20.06
1932,19.78,20.001
1933,21.39,20.13
1934,20.91,20.284
1935,20.35,20.268
1936,19.35,20.238
1937,19.96,20.111
1938,20.65,20.178
1939,20.67,20.276
1940,19.31,20.254
1941,19.94,20.231
1942,19.81,20.234
1943,20.03,20.098
1944,19.86,19.993
1945,20.47,20.005
1946,20.37,20.107
1947,19.82,20.093
1948,20.32,20.06
1949,20.23,20.016
1950,20.74,20.159
1951,20.76,20.241
1952,20.06,20.266
1953,20.61,20.324
1954,21.37,20.475
1955,20.72,20.5
1956,20.93,20.556
1957,20.18,20.592
1958,19.39,20.499
1959,19.52,20.428
1960,19.47,20.301
1961,19.66,20.191
1962,20.55,20.24
1963,20.47,20.226
1964,20.2,20.109
1965,20.23,20.06
1966,19.58,19.925
1967,20.34,19.941
1968,19.15,19.917
1969,19.95,19.96
1970,19.55,19.968
1971,20.82,20.084
1972,20.1,20.039
1973,19.66,19.958
1974,19.93,19.931
1975,19.93,19.901
1976,19.04,19.847
1977,20.3,19.843
1978,19.55,19.883
1979,19.14,19.802
1980,20.3,19.877
1981,20.32,19.827
1982,20.39,19.856
1983,19.2,19.81
1984,20.62,19.879
1985,20.07,19.893
1986,20.56,20.045
1987,19.73,19.988
1988,20.28,20.061
1989,19.99,20.146
1990,20.93,20.209
1991,20.22,20.199
1992,20.07,20.167
1993,19.72,20.219
1994,20.5,20.207
1995,20.35,20.235
1996,20.78,20.257
1997,19.73,20.257
1998,21.35,20.364
1999,21.35,20.5
2000,21.12,20.519
2001,20.35,20.532
2002,20.3,20.555
2003,20.37,20.62
2004,20.45,20.615
2005,20.9,20.67
2006,21.56,20.748
2007,19.98,20.773
2008,20.91,20.729
2009,21.06,20.7
2010,20.1,20.598
2011,21.66,20.729
2012,21.56,20.855
2013,22.18,21.036
